"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"56043",0,10,70,0,2007,1,"","Washakie County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",463,3810,3712,3804,30077995,20056737,270707,613
"56043",0,"10",70,0,2007,2,"","Washakie County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",462,3847,3981,4093,33870324,13898878,198829,656
"56043",0,"10",70,0,2007,3,"","Washakie County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",455,4020,4008,4025,32854219,8597667,130147,629
"56043",0,"10",70,0,2007,4,"","Washakie County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",454,4131,4123,4029,34923661,6511044,114333,656
"56043",1,10,71,0,2007,1,"","Washakie County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,120,116,116,1505125,0,0,987
"56043",1,"10",71,0,2007,2,"","Washakie County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,117,121,144,1544798,0,0,933
"56043",1,"10",71,0,2007,3,"","Washakie County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,145,139,128,1828410,0,0,1024
"56043",1,"10",71,0,2007,4,"","Washakie County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,128,117,115,1608971,0,0,1031
"56043",1,102,72,0,2007,1,"","Washakie County, Wyoming","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,120,116,116,1505125,0,0,987
"56043",1,"102",72,0,2007,2,"","Washakie County, Wyoming","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,117,121,144,1544798,0,0,933
"56043",1,"102",72,0,2007,3,"","Washakie County, Wyoming","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,145,139,128,1828410,0,0,1024
"56043",1,"102",72,0,2007,4,"","Washakie County, Wyoming","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,128,117,115,1608971,0,0,1031
"56043",1,1021,73,0,2007,1,"","Washakie County, Wyoming","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,34,32,31,356021,0,0,847
"56043",1,"1021",73,0,2007,2,"","Washakie County, Wyoming","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,32,32,32,405282,0,0,974
"56043",1,"1021",73,0,2007,3,"","Washakie County, Wyoming","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,33,32,32,345845,0,0,823
"56043",1,"1021",73,0,2007,4,"","Washakie County, Wyoming","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,35,32,33,411677,0,0,950
"56043",1,1023,73,0,2007,1,"","Washakie County, Wyoming","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,27623,0,0,708
"56043",1,"1023",73,0,2007,2,"","Washakie County, Wyoming","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,33477,0,0,858
"56043",1,"1023",73,0,2007,3,"","Washakie County, Wyoming","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,2,2,26158,0,0,862
