"","region","2013_avg_week_wage","Description","2007_avg_week_wage_inflation_adj","percent_change"
"1","38025",1355,"Dunn County, North Dakota",591.858233008777,1.28939959677794
"2","38023",1123,"Divide County, North Dakota",564.904537387884,0.987946503656611
"3","38061",1197,"Mountrail County, North Dakota",604.212010168353,0.981092695702087
"4","38053",1397,"McKenzie County, North Dakota",752.457336083265,0.856583666619221
"5","38105",1469,"Williams County, North Dakota",823.21078708811,0.784476130586431
"6","38089",1140,"Stark County, North Dakota",641.273341647081,0.777713068614332
"7","28069",924,"Kemper County, Mississippi",536.827771116121,0.721222428710996
"8","48283",1220,"La Salle County, Texas",737.857417621948,0.653435976739187
"9","13177",945,"Lee County, Georgia",580.627526500072,0.627549430348757
"10","48417",1013,"Shackelford County, Texas",627.796493836635,0.613580212608838
"11","48129",781,"Donley County, Texas",486.289591826946,0.606038897657368
"12","40043",973,"Dewey County, Oklahoma",614.319646026188,0.583865999230181
"13","30065",821,"Musselshell County, Montana",533.458559163509,0.539013642010677
"14","48269",1086,"King County, Texas",718.765216557149,0.510924534164144
"15","6003",1027,"Alpine County, California",700.79608614322,0.465476220981797
"16","55061",1037,"Kewaunee County, Wisconsin",712.026792651926,0.456405869416402
"17","20031",1161,"Coffey County, Kansas",797.380162118087,0.456018164429908
"18","40151",718,"Woods County, Oklahoma",494.15108638304,0.452996906787015
"19","38013",1015,"Burke County, North Dakota",714.272933953667,0.421025425647503
"20","30075",665,"Powder River County, Montana",470.566602714758,0.413189963256063
"21","38065",1373,"Oliver County, North Dakota",972.579183653892,0.41171024742866
"22","48163",835,"Frio County, Texas",592.981303659648,0.408138831438205
"23","48127",862,"Dimmit County, Texas",614.319646026188,0.403178305587273
"24","48087",704,"Collingsworth County, Texas",503.135651590004,0.39922503558479
"25","38087",1308,"Slope County, North Dakota",938.887064127776,0.39313880228516
"26","30091",748,"Sheridan County, Montana",541.320053719603,0.381807296552614
"27","48229",1039,"Hudspeth County, Texas",754.703477385006,0.376699632549807
"28","13053",902,"Chattahoochee County, Georgia",655.873260108398,0.37526570278368
"29","37187",729,"Washington County, North Carolina",530.089347210897,0.375239860668178
"30","16025",793,"Camas County, Idaho",585.119809103554,0.355277992066161
"31","38033",681,"Golden Valley County, North Dakota",504.258722240875,0.350497214948915
"32","8033",690,"Dolores County, Colorado",510.997146146098,0.350301083291615
"33","38007",746,"Billings County, North Dakota",554.796901530049,0.344636204605037
"34","38075",813,"Renville County, North Dakota",612.073504724447,0.328271839451716
"35","38009",769,"Bottineau County, North Dakota",579.504455849201,0.326995836249634
"36","22099",759,"St. Martin Parish, Louisiana",572.766031943978,0.32514841605383
"37","30083",944,"Richland County, Montana",713.149863302796,0.323704944186727
"38","38101",825,"Ward County, North Dakota",623.304211233153,0.323591249877504
"39","48133",761,"Eastland County, Texas",576.13524389659,0.320870417253265
"40","48255",761,"Karnes County, Texas",576.13524389659,0.320870417253265
"41","48311",864,"McMullen County, Texas",654.750189457528,0.319587247032092
"42","48247",748,"Jim Hogg County, Texas",567.150678689625,0.318873498887841
"43","40003",793,"Alfalfa County, Oklahoma",605.335080819224,0.310018244650222
"44","40085",604,"Love County, Oklahoma",461.582037507794,0.308543121091017
"45","31105",709,"Kimball County, Nebraska",543.566195021344,0.304348957852613
"46","38039",616,"Griggs County, North Dakota",473.93581466737,0.299754061491084
"47","48203",939,"Harrison County, Texas",723.257499160631,0.29829279487561
"48","48109",625,"Culberson County, Texas",481.797309223464,0.297226007773565
"49","27029",718,"Clearwater County, Minnesota",554.796901530049,0.294167285397341
"50","38011",786,"Bowman County, North Dakota",607.581222120965,0.293654200266764
"51","54041",826,"Lewis County, West Virginia",639.02720034534,0.292589735700791
"52","48415",1053,"Scurry County, Texas",817.595433833757,0.287923044117818
"53","48003",1070,"Andrews County, Texas",834.441493596815,0.28229481420899
"54","48043",746,"Brewster County, Texas",582.873667801813,0.279865674518089
"55","38041",702,"Hettinger County, North Dakota",549.181548275697,0.278265816111481
"56","39067",715,"Harrison County, Ohio",561.535325435273,0.273294782382159
"57","38091",742,"Steele County, North Dakota",582.873667801813,0.27300312398448
"58","54047",922,"McDowell County, West Virginia",724.380569811502,0.272811610946333
"59","48391",751,"Refugio County, Texas",590.735162357907,0.271297271356592
"60","48131",885,"Duval County, Texas",696.303803539738,0.270996934816389
"61","48191",585,"Hall County, Texas",460.458966856924,0.270471512354704
"62","38001",703,"Adams County, North Dakota",553.673830879179,0.269700608540061
"63","28145",737,"Union County, Mississippi",580.627526500072,0.269316328219084
"64","31183",708,"Wheeler County, Nebraska",558.166113482661,0.268439596919374
"65","5141",670,"Van Buren County, Arkansas",528.966276560027,0.266621389093353
"66","48413",812,"Schleicher County, Texas",641.273341647081,0.266230712030559
"67","48443",868,"Terrell County, Texas",686.196167681903,0.264944400567353
"68","40045",839,"Ellis County, Oklahoma",663.734754664492,0.264059165357556
"69","2188",1171,"Northwest Arctic Borough, Alaska",927.65635761907,0.26232089111694
"70","48435",1199,"Sutton County, Texas",950.117770636481,0.261948820509686
"71","48249",904,"Jim Wells County, Texas",716.519075255408,0.261655176001788
"72","31033",845,"Cheyenne County, Nebraska",670.473178569716,0.260303956979447
"73","13033",927,"Burke County, Georgia",735.611276320207,0.260176440792463
"74","21225",861,"Union County, Kentucky",685.073097031033,0.256800192171315
"75","46069",667,"Hyde County, South Dakota",532.335488512638,0.252969254151397
"76","48263",544,"Kent County, Texas",434.628341886901,0.251644100424449
"77","48377",743,"Presidio County, Texas",594.104374310518,0.250621998638338
"78","42059",1069,"Greene County, Pennsylvania",856.902906614226,0.247515899116047
"79","31087",797,"Hitchcock County, Nebraska",639.02720034534,0.247208255875945
"80","17065",682,"Hamilton County, Illinois",546.935406973956,0.246947978324022
"81","46021",518,"Campbell County, South Dakota",415.536140822102,0.246582304430085
"82","48359",686,"Oldham County, Texas",550.304618926567,0.246582304430085
"83","46045",617,"Edmunds County, South Dakota",496.397227684781,0.242956176201297
"84","48319",570,"Mason County, Texas",459.335896206053,0.24092195865377
"85","31165",514,"Sioux County, Nebraska",414.413070171231,0.240308371035741
"86","48329",1151,"Midland County, Texas",928.779428269941,0.239260867506502
"87","38043",638,"Kidder County, North Dakota",515.48942874958,0.23765874607282
